Stanford	new	review text
3.000000	1.981771	the gorgeously elaborate continuation of " the lord of the rings " trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j ; r ; r ; tolkien's middle-earth ; 
3.000000	1.995850	though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ; 
3.000000	1.997070	everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse ; 
3.000000	1.949219	this is the best american movie about troubled teens since 1998's whatever ; 
3.000000	1.937500	haneke challenges us to confront the reality of sexual aberration ; 
4.000000	1.382965	painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances ; 
3.000000	1.911133	if nothing else , this movie introduces a promising , unusual kind of psychological horror ; 
3.000000	1.938538	on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique ; 
3.000000	1.986816	the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm
3.000000	1.759766	unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity ; 
3.000000	1.992188	it is nature against progress ; in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale ; 
3.000000	1.914062	a sad , superior human comedy played out on the back roads of life ; 
4.000000	1.999268	waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality ; 
3.000000	1.998901	if you can get past the fantastical aspects and harsh realities of " the isle " you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else ; 
3.000000	1.941162	remains a solid , if somewhat heavy-handed , account of the near-disaster ; ; ; done up by howard with a steady , if not very imaginative , hand ; 
4.000000	1.734619	it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit ; 
3.000000	1.958333	those outside show business will enjoy a close look at people they don't really want to know ; 
3.000000	1.994141	whether you're moved and love it , or bored or frustrated by the film , you'll still feel something ; 
3.000000	1.910156	now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism ; 
4.000000	1.994792	visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last ; 
3.000000	1.996094	despite its many infuriating flaws -- not the least of which is amy's self-absorbed personality -- amy's o's honesty will win you over ; 
3.000000	1.822469	day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock-offs ; 
3.000000	1.973958	the additional storyline is interesting and entertaining , but it doesn't have the same magical quality as the beginning of the story ; i like the new footage and still love the old stuff ; 
3.000000	1.968424	you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid ; 
3.000000	1.972782	parker holds true to wilde's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness ; 
3.000000	1.992676	what's most striking about this largely celebratory film ; ; ; is the sense of isolation that permeates these bastions of individuality in an ikea world ; 
3.000000	1.992188	finally , a genre movie that delivers -- in a couple of genres , no less ; 
3.000000	1.998047	hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love ; 
3.000000	1.829915	while this film is not in the least surprising , it is still ultimately very satisfying ; think of it as a sort of comfort food for the mind ; 
3.000000	1.920492	even if you can't pronounce " gyro " correctly , you'll appreciate much of vardalos' humor , which transcends ethnic boundaries ; 
3.000000	1.837036	as expected , sayles' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances ; 
3.000000	1.734039	it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more ; 
3.000000	1.956706	bubba ho-tep is a wonderful film with a bravura lead performance by bruce campbell that doesn't deserve to leave the building until everyone is aware of it ; 
3.000000	1.733398	disney's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem ; 
3.000000	1.988525	i complain all the time about seeing the same ideas repeated in films over and over again , but the bourne identity proves that a fresh take is always possible ; 
3.000000	1.999907	[taymor] utilizes the idea of making kahlo's art a living , breathing part of the movie , often catapulting the artist into her own work ; this isn't a new idea ; it's been done before but never so vividly or with so much passion ; 
3.000000	1.983032	not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it ; 
3.000000	1.999390	there's no denying the physically spectacular qualities of the film ; ; ; or the emotional integrity of the performances ; 
3.000000	1.515625	not everything works , but the average is higher than in mary and most other recent comedies ; 
3.000000	1.992188	this road movie gives you emotional whiplash , and you'll be glad you went along for the ride ; 
3.000000	1.968750	an uneven but intriguing drama that is part homage and part remake of the italian masterpiece ; 
3.000000	1.236979	having never been a huge fan of dickens' 800-page novel , it surprised me how much pleasure i had watching mcgrath's version ; 
3.000000	1.669108	divine secrets of the ya-ya sisterhood may not be exactly divine , but it's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances ; 
3.000000	1.990885	 " antwone fisher " is an earnest , by-the-numbers effort by washington ; it won't rock any boats but is solid meat-and-potatoes filmmaking ; 
3.000000	1.850260	while the glass slipper doesn't quite fit , pumpkin is definitely a unique modern fairytale ; 
3.000000	1.717285	the drama is played out with such aching beauty and truth that it brings tears to your eyes ; 
4.000000	1.835620	an exceedingly clever piece of cinema ; another great what you don't see' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances
3.000000	1.996094	branagh , in his most forceful non-shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit ; 
3.000000	1.941406	director rob marshall went out gunning to make a great one ; 
3.000000	1.935547	claude miller airs out a tight plot with an easy pace and a focus on character drama over crime-film complications ; 
4.000000	1.992691	it is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come ; 
3.000000	1.999878	it has the courage to wonder about big questions with sincerity and devotion ; it risks seeming slow and pretentious , because it thinks the gamble is worth the promise ; 
3.000000	1.765625	awkward but sincere and , ultimately , it wins you over ; 
3.000000	1.171549	isn't quite the equal of woo's best earlier work , but it's easily his finest american film ; ; ; comes close to recapturing the brilliance of his hong kong films ; 
3.000000	1.997070	as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining ; 
3.000000	1.882812	this is carion's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach ; 
4.000000	1.984985	a bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass ; 
4.000000	1.997070	barney has created a tour de force that is weird , wacky and wonderful ; 
3.000000	1.791016	the ending does leave you unfulfilled , but these are performances to enjoy in a memorable ensemble piece ; 
3.000000	1.804688	lilia's transformation from strict mother to sensual siren is superficially preposterous , but abbas infuses the role with an unimpeachable core of emotional truth ; 
3.000000	1.843099	though the film's scenario is certainly not earthshaking , this depiction of fluctuating female sexuality has two winning lead performances and charm to spare ; 
3.000000	1.820964	bright seems alternately amused and disgusted with this material , and he can't help throwing in a few of his own touches ; 
3.000000	1.838338	the film's real appeal won't be to clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers ; 
3.000000	1.984375	a deviant topical comedy which is funny from start to finish ; 
3.000000	1.260539	don't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life ; 
3.000000	1.983887	a provocative movie about loss , anger , greed , jealousy , sickness and love ; 
3.000000	1.937500	boisterous and daft documentary ; 
4.000000	1.956055	it turns out to be a cut above the norm , thanks to some clever writing and sprightly acting ; 
3.000000	1.957682	lee jeong-hyang tells it so lovingly and films it so beautifully that i couldn't help being captivated by it ; 
3.000000	1.999023	a map of the inner rhythms of love and jealousy and sacrifice drawn with a master's steady stroke ; 
3.000000	1.819173	though the controversial korean filmmaker's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding ; 
3.000000	1.997070	it's endearing to hear madame d ; refer to her husband as 'jackie' -- and he does make for excellent company , not least as a self-conscious performer ; 
3.000000	1.860026	baran isn't the most transporting or gripping film from iran -- or , indeed , by its director -- but it's a worthy companion to the many fine , focused films emerging from that most surprising of nations ; 
3.000000	1.854818	is it a total success ? no ; is it something any true film addict will want to check out ? you bet ; 
3.000000	1.947510	a refreshingly honest and ultimately touching tale of the sort of people usually ignored in contemporary american film ; search it out ; 
3.000000	1.985596	 ; ; ; does such a fine job of engulfing you in its world and allying you with its characters' choices , good and ill , that its shortcomings are remembered only as an afterthought ; 
3.000000	1.500000	insomnia is involving ; still , i thought it could have been more ; 
3.000000	1.992188	a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience ; 
3.000000	1.998047	a tale of horror and revenge that is nearly perfect in its relentless descent to the depths of one man's tortured soul ; 
3.000000	1.975586	interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals 'red dragon' right from under their noses ; 
3.000000	1.988281	biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame ; 
3.000000	1.774414	unlike the nauseating fictions peddled by such 'have-yourself-a-happy-little-holocaust' movies as life is beautiful and jakob the liar , the grey zone is honest enough to deny the possibility of hope in auschwitz ; 
4.000000	1.944661	the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear ; 
3.000000	1.984467	this time out , [sade] is an unsettlingly familiar figure -- in turns loyal and deceitful , responsible and reckless , idealistically selfless and coldly self-interested ; 
4.000000	1.744141	human resources was a good , straightforward tale , but time out is better ; it's haunting ; it's like a poem ; 
3.000000	1.999878	shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic ; 
3.000000	1.254883	not only is undercover brother as funny , if not more so , than both austin powers films , but it's also one of the smarter , savvier spoofs to come along in some time ; 
3.000000	1.908976	while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation ; 
3.000000	1.750000	we know the plot's a little crazy , but it held my interest from start to finish ; 
3.000000	1.968750	a sober and affecting chronicle of the leveling effect of loss ; 
3.000000	1.971680	although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs ; 
3.000000	1.750977	it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity ; 
3.000000	1.973958	 ; ; ; a story we haven't seen on the big screen before , and it's a story that we as americans , and human beings , should know ; 
3.000000	1.992188	if you can stomach the rough content , it's worth checking out for the performances alone ; 
3.000000	1.951823	kinnear doesn't aim for our sympathy , but rather delivers a performance of striking skill and depth ; 
3.000000	1.999023	it's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this " two weddings and a funeral " fun ; 
3.000000	1.958496	the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb ; 
3.000000	1.958984	ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it ; 
3.000000	1.994141	for the most part , director anne-sophie birot's first feature is a sensitive , extraordinarily well-acted drama ; 
3.000000	1.993978	in all , this is a watchable movie that's not quite the memorable experience it might have been ; 
3.000000	1.930990	it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience ; 
3.000000	1.997396	it will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth ; 
3.000000	1.996094	this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer's star trek vi : the undiscovered country ; 
3.000000	1.898763	even if you don't think [kissinger's] any more guilty of criminal activity than most contemporary statesmen , he'd sure make a courtroom trial great fun to watch ; 
3.000000	1.835938	forgettable horror -- more gory than psychological -- with a highly satisfying quotient of friday-night excitement and milla power ; 
3.000000	1.907715	ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid ; 
3.000000	1.751465	it has the ability to offend and put off everyone , but it holds you with its outrageousness ; 
