Stanford	new	review text
3.000000	1.999812	there is a difference between movies with the courage to go over the top and movies that don't care about being stupid
3.000000	1.984406	such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us " the skulls " and last year's " rollerball ; " enough said , except : film overboard ! 
2.000000	1.875000	everything is off ; 
2.000000	1.996745	what you expect is just what you get ; ; ; assuming the bar of expectations hasn't been raised above sixth-grade height ; 
2.000000	1.957194	directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space ; 
3.000000	1.986328	adam sandler's heart may be in the right place , but he needs to pull his head out of his butt
2.000000	1.937500	terminally brain dead production ; 
3.000000	1.995117	j ; lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl ; 
2.000000	1.748047	off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all ; 
3.000000	1.972782	despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off
2.000000	1.718750	bisset delivers a game performance , but she is unable to save the movie ; 
3.000000	1.705139	the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line ; 
3.000000	1.865234	though its atmosphere is intriguing ; ; ; the drama is finally too predictable to leave much of an impression ; 
3.000000	1.692708	diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing ; 
2.000000	1.992188	it's like an all-star salute to disney's cheesy commercialism ; 
2.000000	1.998617	they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book ; 
3.000000	1.473958	just because a walk to remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls ; 
3.000000	1.902344	the boys' sparring , like the succession of blows dumped on guei , wears down the story's more cerebral , and likable , plot elements ; 
3.000000	1.945312	what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film ; 
3.000000	1.976562	that the chuck norris " grenade gag " occurs about 7 times during windtalkers is a good indication of how serious-minded the film is ; 
3.000000	1.932536	it's not exactly worth the bucks to expend the full price for a date , but when it comes out on video , it's well worth a rental ; 
2.000000	1.994792	the actresses may have worked up a back story for the women they portray so convincingly , but viewers don't get enough of that background for the characters to be involving as individuals rather than types ; 
3.000000	1.890625	[at least] moore is a real charmer ; 
3.000000	1.879395	swinging , the film makes it seem , is not a hobby that attracts the young and fit ; or intelligent ; 
2.000000	1.969728	there are enough throwaway references to faith and rainbows to plant smile-button faces on that segment of the populace that made a walk to remember a niche hit ; 
3.000000	1.938477	a wildly erratic drama with sequences that make you wince in embarrassment and others , thanks to the actors , that are quite touching ; 
3.000000	1.500000	strangely comes off as a kingdom more mild than wild ; 
2.000000	1.951945	davis has energy , but she doesn't bother to make her heroine's book sound convincing , the gender-war ideas original , or the comic scenes fly ; 
2.000000	1.937500	in the book-on-tape market , the film of " the kid stays in the picture " would be an abridged edition
2.000000	1.750000	below is well below expectations ; 
3.000000	1.997721	the master of disguise is funny--not " ha ha " funny , " dead circus performer " funny ; and for all the wrong reasons besides ; 
3.000000	1.984375	sets animation back 30 years , musicals back 40 years and judaism back at least 50 ; 
3.000000	1.796875	everything's serious , poetic , earnest and -- sadly -- dull ; 
2.000000	1.843750	we've liked klein's other work but rollerball left us cold ; 
2.000000	1.869141	nohe has made a decent 'intro' documentary , but he feels like a spectator and not a participant ; 
2.000000	1.937500	kapur's contradictory feelings about his material result in a movie that works against itself ; 
3.000000	1.999695	crudup's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families ; 
2.000000	1.625000	decent but dull ; 
3.000000	1.968750	the piano teacher , like its title character , is repellantly out of control ; 
2.000000	1.791667	how this one escaped the lifetime network i'll never know ; 
3.000000	1.583333	the innocence of holiday cheer ain't what it used to be ; 
2.000000	1.953125	heavy with flabby rolls of typical toback machinations ; 
3.000000	1.986328	twenty-three movies into a mostly magnificent directorial career , clint eastwood's efficiently minimalist style finally has failed him ; big time ; 
3.000000	1.750000	the movie is gorgeously made , but it is also somewhat shallow and art-conscious ; 
2.000000	1.750000	odd and weird ; 
3.000000	1.683594	the photographer's show-don't-tell stance is admirable , but it can make him a problematic documentary subject ; 
3.000000	1.942596	there's no question that epps scores once or twice , but it's telling that his funniest moment comes when he falls about ten feet onto his head ; 
3.000000	1.910400	not the great american comedy , but if you liked the previous movies in the series , you'll have a good time with this one too ; 
2.000000	1.968750	has its charming quirks and its dull spots ; 
2.000000	1.875000	formulaic to the 51st power , more like ; 
2.000000	1.750000	draggin' about dragons
3.000000	1.968750	howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject ; 
3.000000	1.781250	complex , sinuously plotted and , somehow , off-puttingly cold ; 
3.000000	1.964355	this bond film goes off the beaten path , not necessarily for the better ; 
3.000000	1.998535	there's something not entirely convincing about the quiet american ; and that holds true for both the movie and the title character played by brendan fraser ; 
3.000000	1.968750	a fascinating but choppy documentary ; 
2.000000	1.968750	ruh-roh ! romething's really wrong with this ricture ! 
2.000000	1.000000	who , exactly , is fighting whom here ? ah , yes , that would be me : fighting off the urge to doze ; 
3.000000	1.777344	it's a very sincere work , but it would be better as a diary or documentary ; 
2.000000	1.945312	the impulses that produced this project ; ; ; are commendable , but the results are uneven ; 
3.000000	1.958333	a well-acted movie that simply doesn't gel ; 
2.000000	1.000000	was i scared ? only at the prospect of beck's next project ; let's see , a haunted house , a haunted ship , what's next ; ; ; ghost blimp ? 
3.000000	1.955729	bolstered by an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension , and a storyline that i haven't encountered since at least pete's dragon ; 
3.000000	1.937500	i highly recommend irwin , but not in the way this film showcases him ; 
3.000000	1.999269	though it goes further than both , anyone who has seen the hunger or cat people will find little new here , but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary ; 
3.000000	1.921224	 " what john does is heroic , but we don't condone it , " one of the film's stars recently said , a tortuous comment that perfectly illustrates the picture's moral schizophrenia ; 
2.000000	1.984375	boy , has this franchise ever run out of gas ; 
2.000000	1.999023	the pace and the visuals are so hyped up that a curious sense of menace informs everything ; 
2.000000	1.987061	hollywood ending is the most disappointing woody allen movie ever ; he has a great cast and a great idea ; but the execution is a flop with the exception of about six gags that really work ; 
2.000000	1.985352	 ; ; ; one big laugh , three or four mild giggles , and a whole lot of not much else ; 
2.000000	1.523438	occasionally funny , sometimes inspiring , often boring ; 
2.000000	1.999969	who are 'they' ? well , they're 'they' ; they're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid ; they exist for hushed lines like " they're back ! " , " they're out there ! " and " they're coming ! " 
3.000000	1.999527	the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture ; 
