Stanford	new	review text
1.000000	2.001953	[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ; 
1.000000	2.004150	about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time ; 
1.000000	2.031250	a sentimental mess that never rings true ; 
1.000000	2.058594	while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary ; 
1.000000	2.007812	this 100-minute movie only has about 25 minutes of decent material ; 
1.000000	2.015381	it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action ; 
1.000000	2.131348	as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma ; 
1.000000	2.132812	the party scenes deliver some tawdry kicks ; the rest of the film ; ; ; is dudsville ; 
1.000000	2.011658	the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story ; killing time , that's all that's going on here ; 
1.000000	2.003906	the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear ; 
1.000000	2.039062	the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable ; 
1.000000	2.005859	analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in ; 
1.000000	2.000977	to the civilized mind , a movie like ballistic : ecks vs ; sever is more of an ordeal than an amusement ; 
1.000000	2.000008	when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '
1.000000	2.123047	an odd , haphazard , and inconsequential romantic comedy ; 
1.000000	2.060547	pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i ; e ; , a banal spiritual quest ; 
0.000000	2.000002	the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything ; 
1.000000	2.250000	sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house ; 
1.000000	2.001953	confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve ; 
1.000000	2.054688	with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment ; 
1.000000	2.008347	one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off
1.000000	2.047119	a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms ; 
1.000000	2.249992	sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler ; but never mind all that ; the boobs are fantasti
1.000000	2.029297	a portrait of alienation so perfect , it will certainly succeed in alienating most viewers ; 
1.000000	2.125000	the code talkers deserved better than a hollow tribute ; 
1.000000	2.029297	it's all pretty tame ; the most offensive thing about the movie is that hollywood expects people to pay to see it ; 
1.000000	2.062500	in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ; 
1.000000	2.062988	it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget ; 
1.000000	2.062500	none of this is half as moving as the filmmakers seem to think ; 
1.000000	2.125000	a processed comedy chop suey ; 
1.000000	2.164062	full of the kind of obnoxious chitchat that only self-aware neurotics engage in ; 
1.000000	2.129883	an erotic thriller that's neither too erotic nor very thrilling , either ; 
1.000000	2.125000	a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff ; 
1.000000	2.003581	it comes off as so silly that you wouldn't be surprised if ba , murdock and rest of the a-team were seen giving chase in a black and red van ; 
1.000000	2.002197	even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities ; 
0.000000	2.000610	what with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time ; 
1.000000	2.156250	plodding , peevish and gimmicky ; 
1.000000	2.008072	the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox ; 
1.000000	2.027344	though this saga would be terrific to read about , it is dicey screen material that only a genius should touch ; 
1.000000	2.000570	it has plenty of laughs ; it just doesn't have much else ; ; ; especially in a moral sense ; 
1.000000	2.006834	an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ; 
1.000000	2.058105	it may play well as a double feature with mainstream foreign mush like my big fat greek wedding
1.000000	2.049683	putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest ; 
1.000000	2.123047	 at its best , it's black hawk down with more heart ; at its worst , it's rambo- meets-john ford ; 
1.000000	2.007812	it leers , offering next to little insight into its intriguing subject ; 
1.000000	2.064941	though the film is well-intentioned , one could rent the original and get the same love story and parable ; 
1.000000	2.005859	it gets bogged down by hit-and-miss topical humour before getting to the truly good stuff ; 
1.000000	2.105469	an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses ; 
1.000000	2.000488	it's tommy's job to clean the peep booths surrounding her , and after viewing this one , you'll feel like mopping up , too ; 
1.000000	2.008911	if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign ; an exit sign , that is ; 
1.000000	2.000977	what you end up getting is the vertical limit of surfing movies - memorable stunts with lots of downtime in between ; 
1.000000	2.077799	stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor ; 
