Stanford	new	review text
2.000000	2.125000	effective but too-tepid biopic
2.000000	2.015862	steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it ; but he somehow pulls it off ; 
1.000000	2.250000	illuminating if overly talky documentary ; 
1.000000	2.035156	though everything might be literate and smart , it never took off and always seemed static ; 
2.000000	2.503906	cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days
1.000000	2.007812	'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad ; '
1.000000	2.001892	may be spoofing an easy target -- those old '50's giant creature features -- but ; ; ; it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today ; 
1.000000	2.041016	behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart ; 
2.000000	2.007854	you'd think by now america would have had enough of plucky british eccentrics with hearts of gold ; yet the act is still charming here ; 
1.000000	2.016602	morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start ; 
1.000000	2.033203	son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness ; 
1.000000	2.003906	like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated ; 
1.000000	2.045898	writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear ; 
1.000000	2.031250	chicago is sophisticated , brash , sardonic , completely joyful in its execution ; 
1.000000	2.033203	the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure ; 
1.000000	2.023438	if it's possible for a sequel to outshine the original , then sl2 does just that ; 
1.000000	2.005859	4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip ; 
1.000000	2.003906	it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self ; 
2.000000	2.039062	between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results ; 
1.000000	2.027344	somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes ; 
1.000000	2.054688	a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done ; 
1.000000	2.007812	as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten ; 
1.000000	2.010254	its mysteries are transparently obvious , and it's too slowly paced to be a thriller ; [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser ; 
1.000000	2.017090	the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are ; 
1.000000	2.054688	for a good chunk of its running time , trapped is an effective and claustrophobic thriller ; 
1.000000	2.000837	maybe it's just because this past year has seen the release of some of the worst film comedies in decades ; ; ; but honestly , analyze that really isn't all that bad ; 
1.000000	2.000244	britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway ; 
1.000000	2.037109	the kind of nervous film that will either give you a mild headache or exhilarate you ; 
1.000000	2.027344	watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it ; 
1.000000	2.153280	children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted ; 
2.000000	2.046875	all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure ; 
1.000000	2.269531	polished korean political-action film is just as good -- and bad -- as hollywood action epics ; is this progress ? 
1.000000	2.000488	elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone ; 
1.000000	2.001312	the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air ; 
1.000000	2.002054	never mind whether you buy the stuff about barris being a cia hit man ; the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive ; 
1.000000	2.037435	behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art ; 
1.000000	2.046890	though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium ; 
1.000000	2.017578	windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live ; 
1.000000	2.000244	using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead ; 
1.000000	2.062500	the transporter is as lively and as fun as it is unapologetically dumb
1.000000	2.004150	as a witness to several greek-american weddings -- but , happily , a victim of none -- i can testify to the comparative accuracy of ms ; vardalos' memories and insights ; 
2.000000	2.000244	has it ever been possible to say that williams has truly inhabited a character ? it is now ; 
1.000000	2.125031	 " its successes are also tempered with elements which prove the direct antithesis of what it gets right ; " 
1.000000	2.004150	thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality ; ; ; takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda ; 
1.000000	2.000244	ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis ; 
1.000000	2.013916	if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite ; 
1.000000	2.031250	it would be interesting to hear from the other side , but in talk to her , the women are down for the count ; 
1.000000	2.013794	 ; ; ; if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games ; 
2.000000	2.125000	the new guy does have a heart ; now , if it only had a brain ; 
2.000000	2.007812	a savvy exploration of paranoia and insecurity in america's culture of fear ; 
1.000000	2.229167	the film's greatest asset is how much it's not just another connect-the-dots , spy-on-the-run picture ; 
1.000000	2.001831	asia authors herself as anna battista , an italian superstar and aspiring directress who just happens to be her own worst enemy ; 
1.000000	2.002604	easier to respect than enthuse over , andersson's rigorous personal vision is not only distanced but distancing ; 
1.000000	2.093750	 ; ; ; tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope ; 
2.000000	2.500000	clever , brutal and strangely soulful movie ; 
2.000000	2.037109	attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage ; 
1.000000	2.095703	audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film's tart , sugar-free wit ; 
1.000000	2.015625	bennett's dramatization of her personal descent into post-breakup perdition has a morbid appeal that's tough to shake ; 
2.000000	2.354167	yeah , these flicks are just that damn good ; isn't it great ? 
1.000000	2.032227	if there's nothing fresh about wannabes , which was written by mr ; demeo , who produced and directed the film with charles a ; addessi , much of the time the movie feels authentic ; 
1.000000	2.158203	 ; ; ; the gentle melding of drama and comedy makes " what time is it there ? " something the true film buff will enjoy ; 
1.000000	2.002441	chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws ; 
2.000000	2.046875	most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds ; 
